source,destination,size,time
csews49,csews14,1000,0.003727
csews49,csews14,1000,0.000329
csews49,csews14,1000,0.000278
csews49,csews14,1000,0.000469
csews49,csews14,1000,0.000295
csews49,csews14,1000,0.000282
csews49,csews14,1000,0.000326
csews49,csews14,1000,0.000334
csews49,csews14,1000,0.000315
csews49,csews14,1000,0.000339
csews49,csews14,100000,0.001775
csews49,csews14,100000,0.001887
csews49,csews14,100000,0.001634
csews49,csews14,100000,0.001500
csews49,csews14,100000,0.002603
csews49,csews14,100000,0.001825
csews49,csews14,100000,0.001768
csews49,csews14,100000,0.001650
csews49,csews14,100000,0.001917
csews49,csews14,100000,0.002092
csews49,csews14,1000000,0.011273
csews49,csews14,1000000,0.011945
csews49,csews14,1000000,0.011015
csews49,csews14,1000000,0.009860
csews49,csews14,1000000,0.040003
csews49,csews14,1000000,0.011808
csews49,csews14,1000000,0.015327
csews49,csews14,1000000,0.010340
csews49,csews14,1000000,0.010306
csews49,csews14,1000000,0.011117
csews49,csews14,8000000,0.078874
csews49,csews14,8000000,0.074827
csews49,csews14,8000000,0.080315
csews49,csews14,8000000,0.096965
csews49,csews14,8000000,0.074077
csews49,csews14,8000000,0.081581
csews49,csews14,8000000,0.081342
csews49,csews14,8000000,0.074190
csews49,csews14,8000000,0.074776
csews49,csews14,8000000,0.075301
csews49,csews14,32000000,0.314731
csews49,csews14,32000000,0.342394
csews49,csews14,32000000,0.404674
csews49,csews14,32000000,0.313133
csews49,csews14,32000000,0.307251
csews49,csews14,32000000,0.300204
csews49,csews14,32000000,0.303120
csews49,csews14,32000000,0.310105
csews49,csews14,32000000,0.302009
csews49,csews14,32000000,0.309266
csews49,csews14,64000000,0.649258
csews49,csews14,64000000,0.625881
csews49,csews14,64000000,0.665650
csews49,csews14,64000000,0.625148
csews49,csews14,64000000,0.595732
csews49,csews14,64000000,0.610968
csews49,csews14,64000000,0.621274
csews49,csews14,64000000,0.617179
csews49,csews14,64000000,0.609661
csews49,csews14,64000000,0.655199
csews49,csews14,128000000,1.277080
csews49,csews14,128000000,1.292701
csews49,csews14,128000000,1.261047
csews49,csews14,128000000,1.235187
csews49,csews14,128000000,1.225960
csews49,csews14,128000000,1.213526
csews49,csews14,128000000,1.330961
csews49,csews14,128000000,1.373594
csews49,csews14,128000000,1.305628
csews49,csews14,128000000,1.180774
csews15,csews36,1000,0.002281
csews15,csews36,1000,0.000275
csews15,csews36,1000,0.000257
csews15,csews36,1000,0.000247
csews15,csews36,1000,0.000300
csews15,csews36,1000,0.000245
csews15,csews36,1000,0.000348
csews15,csews36,1000,0.000410
csews15,csews36,1000,0.000403
csews15,csews36,1000,0.008480
csews15,csews36,100000,0.001890
csews15,csews36,100000,0.001883
csews15,csews36,100000,0.001913
csews15,csews36,100000,0.001516
csews15,csews36,100000,0.002067
csews15,csews36,100000,0.001569
csews15,csews36,100000,0.002357
csews15,csews36,100000,0.001544
csews15,csews36,100000,0.001653
csews15,csews36,100000,0.001496
csews15,csews36,1000000,0.012467
csews15,csews36,1000000,0.016716
csews15,csews36,1000000,0.019648
csews15,csews36,1000000,0.010589
csews15,csews36,1000000,0.010737
csews15,csews36,1000000,0.012486
csews15,csews36,1000000,0.010756
csews15,csews36,1000000,0.009798
csews15,csews36,1000000,0.013452
csews15,csews36,1000000,0.010045
csews15,csews36,8000000,0.074216
csews15,csews36,8000000,0.071990
