source,destination,size,time
csews3,csews15,1000,0.007160
csews3,csews15,1000,0.000317
csews3,csews15,1000,0.000287
csews3,csews15,1000,0.001516
csews3,csews15,1000,0.000273
csews3,csews15,1000,0.000222
csews3,csews15,1000,0.001065
csews3,csews15,1000,0.000318
csews3,csews15,1000,0.000324
csews3,csews15,1000,0.000319
csews3,csews15,100000,0.001755
csews3,csews15,100000,0.001723
csews3,csews15,100000,0.001456
csews3,csews15,100000,0.001706
csews3,csews15,100000,0.001502
csews3,csews15,100000,0.011138
csews3,csews15,100000,0.001516
csews3,csews15,100000,0.001310
csews3,csews15,100000,0.002248
csews3,csews15,100000,0.001763
csews3,csews15,1000000,0.041987
csews3,csews15,1000000,0.019474
csews3,csews15,1000000,0.027932
csews3,csews15,1000000,0.009314
csews3,csews15,1000000,0.011489
csews3,csews15,1000000,0.013235
csews3,csews15,1000000,0.011595
csews3,csews15,1000000,0.009449
csews3,csews15,1000000,0.009734
csews3,csews15,1000000,0.009133
csews3,csews15,8000000,0.069109
csews3,csews15,8000000,0.069442
csews3,csews15,8000000,0.069390
csews3,csews15,8000000,0.068983
csews3,csews15,8000000,0.087759
csews3,csews15,8000000,0.086912
csews3,csews15,8000000,0.069933
csews3,csews15,8000000,0.069395
csews3,csews15,8000000,0.143531
csews3,csews15,8000000,0.107137
csews3,csews15,32000000,0.357793
csews3,csews15,32000000,0.343926
csews3,csews15,32000000,0.301186
csews3,csews15,32000000,0.283998
csews3,csews15,32000000,0.281508
csews3,csews15,32000000,0.380993
csews3,csews15,32000000,0.316946
csews3,csews15,32000000,0.317793
csews3,csews15,32000000,0.322564
csews3,csews15,32000000,0.353202
csews3,csews15,64000000,0.736281
csews3,csews15,64000000,0.659714
csews3,csews15,64000000,0.660622
csews3,csews15,64000000,0.637291
csews3,csews15,64000000,0.574186
csews3,csews15,64000000,0.643831
csews3,csews15,64000000,0.679190
csews3,csews15,64000000,0.744284
csews3,csews15,64000000,0.642799
csews3,csews15,64000000,0.619749
csews3,csews15,128000000,1.129696
csews3,csews15,128000000,1.312945
csews3,csews15,128000000,1.262009
csews3,csews15,128000000,1.323779
csews3,csews15,128000000,1.161533
csews3,csews15,128000000,1.141375
csews3,csews15,128000000,1.380784
csews3,csews15,128000000,1.369623
csews3,csews15,128000000,1.161660
csews3,csews15,128000000,1.171581
csews20,csews44,1000,0.000289
csews20,csews44,1000,0.000273
csews20,csews44,1000,0.000274
csews20,csews44,1000,0.000287
csews20,csews44,1000,0.000255
csews20,csews44,1000,0.000272
csews20,csews44,1000,0.000274
csews20,csews44,1000,0.000317
csews20,csews44,1000,0.000276
csews20,csews44,1000,0.000277
csews20,csews44,100000,0.001393
csews20,csews44,100000,0.001465
csews20,csews44,100000,0.001425
csews20,csews44,100000,0.001443
csews20,csews44,100000,0.001467
csews20,csews44,100000,0.001425
csews20,csews44,100000,0.001462
csews20,csews44,100000,0.001567
