source,destination,size,time
csews33,csews15,1000,0.003725
csews33,csews15,1000,0.000289
csews33,csews15,1000,0.000314
csews33,csews15,1000,0.000343
csews33,csews15,1000,0.000351
csews33,csews15,1000,0.000361
csews33,csews15,1000,0.000384
csews33,csews15,1000,0.000370
csews33,csews15,1000,0.000341
csews33,csews15,1000,0.000291
csews33,csews15,100000,0.001520
csews33,csews15,100000,0.001508
csews33,csews15,100000,0.001708
csews33,csews15,100000,0.001503
csews33,csews15,100000,0.001693
csews33,csews15,100000,0.002786
csews33,csews15,100000,0.001991
csews33,csews15,100000,0.001940
csews33,csews15,100000,0.001499
csews33,csews15,100000,0.001555
csews33,csews15,1000000,0.009524
csews33,csews15,1000000,0.009380
csews33,csews15,1000000,0.010169
csews33,csews15,1000000,0.009445
csews33,csews15,1000000,0.010427
csews33,csews15,1000000,0.009678
csews33,csews15,1000000,0.009532
csews33,csews15,1000000,0.009648
csews33,csews15,1000000,0.009503
csews33,csews15,1000000,0.009361
csews33,csews15,8000000,0.069194
csews33,csews15,8000000,0.069404
csews33,csews15,8000000,0.069771
csews33,csews15,8000000,0.069095
csews33,csews15,8000000,0.069328
csews33,csews15,8000000,0.070147
csews33,csews15,8000000,0.069249
csews33,csews15,8000000,0.069400
csews33,csews15,8000000,0.069300
csews33,csews15,8000000,0.069593
csews33,csews15,32000000,0.274146
csews33,csews15,32000000,0.274849
csews33,csews15,32000000,0.274826
csews33,csews15,32000000,0.274799
csews33,csews15,32000000,0.273963
csews33,csews15,32000000,0.274549
csews33,csews15,32000000,0.274911
csews33,csews15,32000000,0.280460
csews33,csews15,32000000,0.279729
csews33,csews15,32000000,0.274263
csews33,csews15,64000000,0.547798
csews33,csews15,64000000,0.558284
csews33,csews15,64000000,0.547678
csews33,csews15,64000000,0.548189
csews33,csews15,64000000,0.547730
csews33,csews15,64000000,0.547294
csews33,csews15,64000000,0.556155
csews33,csews15,64000000,0.611090
csews33,csews15,64000000,0.547392
csews33,csews15,64000000,0.548797
csews33,csews15,128000000,1.417852
csews33,csews15,128000000,1.261367
csews33,csews15,128000000,1.673532
csews33,csews15,128000000,1.247482
csews33,csews15,128000000,1.153832
csews33,csews15,128000000,1.546790
csews33,csews15,128000000,1.358058
csews33,csews15,128000000,1.194228
csews33,csews15,128000000,1.164386
csews33,csews15,128000000,1.195049
csews44,csews3,1000,0.001340
csews44,csews3,1000,0.000228
csews44,csews3,1000,0.000226
csews44,csews3,1000,0.000242
csews44,csews3,1000,0.000279
csews44,csews3,1000,0.000311
csews44,csews3,1000,0.000279
csews44,csews3,1000,0.000229
csews44,csews3,1000,0.000273
csews44,csews3,1000,0.000280
csews44,csews3,100000,0.001513
