source,destination,size,time
csews20,csews31,1000,0.000291
csews20,csews31,1000,0.000287
csews20,csews31,1000,0.000302
csews20,csews31,1000,0.000328
csews20,csews31,1000,0.000311
csews20,csews31,1000,0.000286
csews20,csews31,1000,0.000308
csews20,csews31,1000,0.000269
csews20,csews31,1000,0.000289
csews20,csews31,1000,0.000271
csews20,csews31,100000,0.001427
csews20,csews31,100000,0.001421
csews20,csews31,100000,0.001705
csews20,csews31,100000,0.001513
csews20,csews31,100000,0.001474
csews20,csews31,100000,0.001464
csews20,csews31,100000,0.001446
csews20,csews31,100000,0.001307
csews20,csews31,100000,0.001415
csews20,csews31,100000,0.001468
csews20,csews31,1000000,0.009829
csews20,csews31,1000000,0.009377
csews20,csews31,1000000,0.009621
csews20,csews31,1000000,0.009385
csews20,csews31,1000000,0.009242
csews20,csews31,1000000,0.009674
csews20,csews31,1000000,0.011275
csews20,csews31,1000000,0.009247
csews20,csews31,1000000,0.009130
csews20,csews31,1000000,0.009230
csews20,csews31,8000000,0.069215
csews20,csews31,8000000,0.071965
csews20,csews31,8000000,0.069456
csews20,csews31,8000000,0.069911
csews20,csews31,8000000,0.071191
csews20,csews31,8000000,0.069219
csews20,csews31,8000000,0.069194
csews20,csews31,8000000,0.068888
csews20,csews31,8000000,0.070062
csews20,csews31,8000000,0.069949
csews20,csews31,32000000,0.277029
csews20,csews31,32000000,0.274571
csews20,csews31,32000000,0.275058
csews20,csews31,32000000,0.292599
csews20,csews31,32000000,0.286690
csews20,csews31,32000000,0.275220
csews20,csews31,32000000,0.274626
csews20,csews31,32000000,0.277253
csews20,csews31,32000000,0.285127
csews20,csews31,32000000,0.293385
csews20,csews31,64000000,0.549162
csews20,csews31,64000000,0.555153
csews20,csews31,64000000,0.555275
csews20,csews31,64000000,0.550721
csews20,csews31,64000000,0.549164
csews20,csews31,64000000,0.567237
csews20,csews31,64000000,0.553434
csews20,csews31,64000000,0.550283
csews20,csews31,64000000,0.568723
csews20,csews31,64000000,0.549308
csews20,csews31,128000000,1.116420
csews20,csews31,128000000,1.106466
csews20,csews31,128000000,1.137165
csews20,csews31,128000000,1.099286
csews20,csews31,128000000,1.113762
csews20,csews31,128000000,1.121569
csews20,csews31,128000000,1.098492
csews20,csews31,128000000,1.123803
csews20,csews31,128000000,1.096265
csews20,csews31,128000000,1.122745
csews10,csews14,1000,0.002044
csews10,csews14,1000,0.000354
csews10,csews14,1000,0.000297
csews10,csews14,1000,0.000328
csews10,csews14,1000,0.000338
csews10,csews14,1000,0.000338
csews10,csews14,1000,0.000341
csews10,csews14,1000,0.000354
csews10,csews14,1000,0.000328
csews10,csews14,1000,0.000303
csews10,csews14,100000,0.001512
csews10,csews14,100000,0.001606
csews10,csews14,100000,0.001884
csews10,csews14,100000,0.001451
csews10,csews14,100000,0.001366
csews10,csews14,100000,0.001451
csews10,csews14,100000,0.001937
csews10,csews14,100000,0.001649
csews10,csews14,100000,0.003297
csews10,csews14,100000,0.001523
csews10,csews14,1000000,0.011260
csews10,csews14,1000000,0.012866
csews10,csews14,1000000,0.009983
csews10,csews14,1000000,0.010677
csews10,csews14,1000000,0.011201
csews10,csews14,1000000,0.015771
csews10,csews14,1000000,0.014845
csews10,csews14,1000000,0.010774
csews10,csews14,1000000,0.009720
csews10,csews14,1000000,0.013040
csews10,csews14,8000000,0.127101
csews10,csews14,8000000,0.086887
csews10,csews14,8000000,0.120687
csews10,csews14,8000000,0.081847
csews10,csews14,8000000,0.076123
csews10,csews14,8000000,0.084826
csews10,csews14,8000000,0.079294
csews10,csews14,8000000,0.077937
csews10,csews14,8000000,0.081824
csews10,csews14,8000000,0.078908
csews10,csews14,32000000,0.300631
csews10,csews14,32000000,0.298541
csews10,csews14,32000000,0.311503
csews10,csews14,32000000,0.351686
csews10,csews14,32000000,0.359012
csews10,csews14,32000000,0.369449
csews10,csews14,32000000,0.327381
csews10,csews14,32000000,0.341740
csews10,csews14,32000000,0.295719
csews10,csews14,32000000,0.310271
csews10,csews14,64000000,0.595314
csews10,csews14,64000000,0.620480
csews10,csews14,64000000,0.641409
csews10,csews14,64000000,0.615647
csews10,csews14,64000000,0.677313
csews10,csews14,64000000,0.669583
csews10,csews14,64000000,0.656970
csews10,csews14,64000000,0.621272
csews10,csews14,64000000,0.644215
csews10,csews14,64000000,0.602734
csews10,csews14,128000000,1.369557
csews10,csews14,128000000,1.483262
csews10,csews14,128000000,1.232304
csews10,csews14,128000000,1.382025
csews10,csews14,128000000,1.461334
csews10,csews14,128000000,1.348554
csews10,csews14,128000000,1.288263
csews10,csews14,128000000,1.289640
csews10,csews14,128000000,1.307108
csews10,csews14,128000000,1.391334
csews44,csews13,1000,0.000248
csews44,csews13,1000,0.000351
csews44,csews13,1000,0.000280
csews44,csews13,1000,0.000341
csews44,csews13,1000,0.000318
csews44,csews13,1000,0.000276
csews44,csews13,1000,0.000356
csews44,csews13,1000,0.000283
csews44,csews13,1000,0.000347
csews44,csews13,1000,0.000321
csews44,csews13,100000,0.001509
csews44,csews13,100000,0.001819
csews44,csews13,100000,0.001515
csews44,csews13,100000,0.001447
csews44,csews13,100000,0.001336
csews44,csews13,100000,0.001496
csews44,csews13,100000,0.001511
csews44,csews13,100000,0.001435
csews44,csews13,100000,0.001638
csews44,csews13,100000,0.001507
csews44,csews13,1000000,0.030650
csews44,csews13,1000000,0.009690
csews44,csews13,1000000,0.009918
csews44,csews13,1000000,0.009285
csews44,csews13,1000000,0.009227
csews44,csews13,1000000,0.009354
csews44,csews13,1000000,0.009339
csews44,csews13,1000000,0.009498
csews44,csews13,1000000,0.010089
csews44,csews13,1000000,0.009345
csews44,csews13,8000000,0.069917
csews44,csews13,8000000,0.069479
csews44,csews13,8000000,0.069702
csews44,csews13,8000000,0.073351
csews44,csews13,8000000,0.076083
csews44,csews13,8000000,0.071504
csews44,csews13,8000000,0.069709
csews44,csews13,8000000,0.070289
csews44,csews13,8000000,0.071747
csews44,csews13,8000000,0.101372
csews44,csews13,32000000,0.313891
csews44,csews13,32000000,0.293940
csews44,csews13,32000000,0.275515
csews44,csews13,32000000,0.275922
csews44,csews13,32000000,0.278024
csews44,csews13,32000000,0.275139
csews44,csews13,32000000,0.274867
csews44,csews13,32000000,0.274725
csews44,csews13,32000000,0.379032
csews44,csews13,32000000,0.391227
csews44,csews13,64000000,0.708750
csews44,csews13,64000000,0.631692
csews44,csews13,64000000,0.596025
csews44,csews13,64000000,0.569622
csews44,csews13,64000000,0.547570
csews44,csews13,64000000,0.755380
csews44,csews13,64000000,0.650757
csews44,csews13,64000000,0.585046
csews44,csews13,64000000,0.903907
csews44,csews13,64000000,0.557776
csews44,csews13,128000000,1.189856
csews44,csews13,128000000,1.166875
csews44,csews13,128000000,1.279999
csews44,csews13,128000000,1.263762
csews44,csews13,128000000,1.107062
csews44,csews13,128000000,1.211079
csews44,csews13,128000000,1.520160
csews44,csews13,128000000,1.133561
